Hero|Publisher,Gender,Race,Alignment,Hair color,Eye color,Skin color,Measurements
A-Bomb|Marvel Comics,Male,Human,good,No Hair,yellow,Unknown,"{'Height': '203.0 cm', 'Weight': '441.0 kg'}"
Abe Sapien|Dark Horse Comics,Male,Icthyo Sapien,good,No Hair,blue,blue,"{'Height': '191.0 cm', 'Weight': '65.0 kg'}"
Abin Sur|DC Comics,Male,Ungaran,good,No Hair,blue,red,"{'Height': '185.0 cm', 'Weight': '90.0 kg'}"
Abomination|Marvel Comics,Male,Human / Radiation,bad,No Hair,green,Unknown,"{'Height': '203.0 cm', 'Weight': '441.0 kg'}"
Absorbing Man|Marvel Comics,Male,Human,bad,No Hair,blue,Unknown,"{'Height': '193.0 cm', 'Weight': '122.0 kg'}"
Adam Strange|DC Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '185.0 cm', 'Weight': '88.0 kg'}"
Agent Bob|Marvel Comics,Male,Human,good,Brown,brown,Unknown,"{'Height': '178.0 cm', 'Weight': '81.0 kg'}"
Agent Zero|Marvel Comics,Male,Unknown,good,Unknown,Unknown,Unknown,"{'Height': '191.0 cm', 'Weight': '104.0 kg'}"
Air-Walker|Marvel Comics,Male,Unknown,bad,White,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '108.0 kg'}"
Ajax|Marvel Comics,Male,Cyborg,bad,Black,brown,Unknown,"{'Height': '193.0 cm', 'Weight': '90.0 kg'}"
Alan Scott|DC Comics,Male,Unknown,good,Blond,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '90.0 kg'}"
Alien|Dark Horse Comics,Male,Xenomorph XX121,bad,No Hair,Unknown,black,"{'Height': '244.0 cm', 'Weight': '169.0 kg'}"
Amazo|DC Comics,Male,Android,bad,Unknown,red,Unknown,"{'Height': '257.0 cm', 'Weight': '173.0 kg'}"
Ammo|Marvel Comics,Male,Human,bad,Black,brown,Unknown,"{'Height': '188.0 cm', 'Weight': '101.0 kg'}"
Angel|Marvel Comics,Male,Unknown,good,Blond,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '68.0 kg'}"
Angel Dust|Marvel Comics,Female,Mutant,good,Black,yellow,Unknown,"{'Height': '165.0 cm', 'Weight': '57.0 kg'}"
Angel Salvadore|Marvel Comics,Female,Unknown,good,Black,brown,Unknown,"{'Height': '163.0 cm', 'Weight': '54.0 kg'}"
Animal Man|DC Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '83.0 kg'}"
Annihilus|Marvel Comics,Male,Unknown,bad,No Hair,green,Unknown,"{'Height': '180.0 cm', 'Weight': '90.0 kg'}"
Ant-Man|Marvel Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '211.0 cm', 'Weight': '122.0 kg'}"
Ant-Man II|Marvel Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '86.0 kg'}"
Anti-Venom|Marvel Comics,Male,Symbiote,Unknown,Blond,blue,Unknown,"{'Height': '229.0 cm', 'Weight': '358.0 kg'}"
Apocalypse|Marvel Comics,Male,Mutant,bad,Black,red,grey,"{'Height': '213.0 cm', 'Weight': '135.0 kg'}"
Aqualad|DC Comics,Male,Atlantean,good,Black,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '106.0 kg'}"
Aquaman|DC Comics,Male,Atlantean,good,Blond,blue,Unknown,"{'Height': '185.0 cm', 'Weight': '146.0 kg'}"
Arachne|Marvel Comics,Female,Human,good,Blond,blue,Unknown,"{'Height': '175.0 cm', 'Weight': '63.0 kg'}"
Archangel|Marvel Comics,Male,Mutant,good,Blond,blue,blue,"{'Height': '183.0 cm', 'Weight': '68.0 kg'}"
Arclight|Marvel Comics,Female,Unknown,bad,Purple,violet,Unknown,"{'Height': '173.0 cm', 'Weight': '57.0 kg'}"
Ardina|Marvel Comics,Female,Alien,good,Orange,white,gold,"{'Height': '193.0 cm', 'Weight': '98.0 kg'}"
Ares|Marvel Comics,Male,Unknown,good,Brown,brown,Unknown,"{'Height': '185.0 cm', 'Weight': '270.0 kg'}"
Ariel|Marvel Comics,Female,Unknown,good,Pink,purple,Unknown,"{'Height': '165.0 cm', 'Weight': '59.0 kg'}"
